Раздел;Название;Артикул;Цена;Материал;Цвет;ЦветHEX;Размеры;Описание;Фото;Хит
Входные двери;Термо Стандарт 90;VD-1001;28900;Металл;Антрацит;#3b3f45;860x2050;Терморазрыв в коробе: зимой дверь не промерзает и не покрывается инеем изнутри. Два контура уплотнения.;;да
Входные двери;Термо Комфорт;VD-1002;34500;Металл;Графит;#4a4f57;960x2050;Широкое полотно 96 см — проходит коляска и габаритная мебель. Терморазрыв и три контура уплотнения.;;нет
Входные двери;Барьер Люкс;VD-1003;41200;Металл;Венге;#4b3524;860x2050;Два замка разных систем и накладка на цилиндр — для квартиры в новостройке. Отделка под венге.;;да
Входные двери;Барьер Про;VD-1004;46800;Металл;Тёмный дуб;#5d4630;960x2100;Высота 210 см для домов с высокими потолками. Два замка и противосъёмные штыри.;;нет
Входные двери;Форт Классик;VD-1005;25400;Металл;Медь;#7a5230;860x2050;Базовая стальная дверь для квартиры: два контура уплотнения и отделка под медь.;;нет
Входные двери;Форт Тепло;VD-1006;31700;Металл;Белый;#e8e6e1;960x2050;Белая отделка внутри визуально расширяет прихожую. Утеплитель — минеральная вата.;;нет
Входные двери;Форт Двухстворчатая;VD-1007;58900;Металл;Графит;#4a4f57;1200x2050;Две створки: вторая открывается, когда нужно занести мебель. Для частного дома.;;нет
Межкомнатные двери;Милан Глухая;MD-2001;7900;МДФ;Белый;#efece6;800x2000;Гладкое белое полотно подходит к любому интерьеру и легко моется.;;да
Межкомнатные двери;Милан Стекло;MD-2002;9400;МДФ;Белый;#efece6;800x2000;Матовая стеклянная вставка пропускает свет в коридор без окна.;;нет
Межкомнатные двери;Верона Дуб;MD-2003;11200;Шпон;Светлый дуб;#c19a63;900x2000;Натуральный шпон дуба с тёплым рисунком древесины. Ширина 90 см.;;да
Межкомнатные двери;Верона Орех;MD-2004;12600;Шпон;Орех;#6b4526;800x2000;Шпон ореха — для интерьеров в тёмных тонах.;;нет
Межкомнатные двери;Прага Софт;MD-2005;10300;МДФ;Серый;#9aa0a6;700x2000;Покрытие софт-тач приятное на ощупь и не оставляет отпечатков.;;нет
Межкомнатные двери;Прага Графит;MD-2006;10900;МДФ;Графит;#4a4f57;800x2000;Графитовый цвет под современный интерьер, покрытие софт-тач.;;нет
Межкомнатные двери;Сиена Эмаль;MD-2007;14800;Массив;Белый;#f4f2ee;900x2000;Массив сосны под белой эмалью — прочная дверь на долгие годы.;;нет
Межкомнатные двери;Сиена Капучино;MD-2008;15600;Массив;Капучино;#a4886b;800x2000;Массив сосны в тёплом оттенке капучино.;;нет
Межкомнатные двери;Лофт Рейка;MD-2009;13400;Шпон;Тёмный дуб;#5d4630;800x2000;Вертикальные рейки из шпона дуба — акцентная дверь для гостиной.;;нет
Раздвижные системы;Купе Одностворчатая;RS-3001;16400;МДФ;Белый;#efece6;800x2000;Полотно уходит вдоль стены — не нужно место для открывания.;;нет
Раздвижные системы;Купе Двустворчатая;RS-3002;24900;МДФ;Светлый дуб;#c19a63;1600x2000;Проём 160 см объединяет кухню и гостиную или делит комнату на зоны.;;да
Раздвижные системы;Пенал Инвизибл;RS-3003;31500;Алюминий;Серебро;#b9bec4;900x2100;Полотно уходит в стену: когда дверь открыта, её не видно.;;нет
Раздвижные системы;Пенал Лофт;RS-3004;28700;Алюминий;Чёрный;#2e3135;900x2100;Чёрный алюминиевый профиль в стиле лофт, полотно уходит в стену.;;нет
Раздвижные системы;Гармошка Компакт;RS-3005;12300;МДФ;Орех;#6b4526;800x2000;Складывается гармошкой — для узких проёмов в кладовую или гардероб.;;нет
Фурнитура;Ручка Нордик;FR-4001;1850;Металл;Матовый хром;#adb3b9;—;Матовый хром не показывает отпечатки пальцев.;;нет
Фурнитура;Ручка Милан;FR-4002;2400;Металл;Чёрный;#2e3135;—;Чёрная матовая ручка для дверей в современном стиле.;;да
Фурнитура;Замок Профи 5;FR-4003;4700;Металл;Никель;#c3c8ce;—;Врезной замок, пять ключей в комплекте.;;нет
Фурнитура;Петли Скрытые;FR-4004;3200;Металл;Серебро;#b9bec4;—;Петли не видны, когда дверь закрыта, — полотно остаётся ровной плоскостью.;;нет
Фурнитура;Доводчик Тихий ход;FR-4005;5600;Металл;Графит;#4a4f57;—;Дверь закрывается плавно и без хлопка.;;нет
Фурнитура;Порог Алюминиевый;FR-4006;950;Алюминий;Серебро;#b9bec4;—;Закрывает стык напольных покрытий между комнатами.;;нет
Фурнитура;Стопор Магнитный;FR-4007;690;Металл;Чёрный;#2e3135;—;Держит дверь открытой и не даёт ручке удариться о стену.;;нет
