Артикул;Товар;Раздел;Вариант;Цена;Наличие;Фото;Кратко;Описание;Состав;Горение;Хит
LU-101;Инжир и кедр;Свечи;100 мл;790;да;inzhir.jpg;Спелый инжир, кедровая древесина и немного дыма. Запах осеннего вечера у камина.;Свеча из соевого воска в янтарном стекле. Хлопковый фитиль горит ровно и не коптит. В первый раз держите свечу зажжённой 2–3 часа, пока воск не расплавится до краёв: тогда она прогорит до дна без «колодца».;Соевый воск, хлопковый фитиль, парфюмерная композиция;около 20 часов;да
LU-102;Инжир и кедр;Свечи;200 мл;1390;да;;;;;около 40 часов;
LU-111;Ваниль и табак;Свечи;100 мл;790;да;vanil.jpg;Тёплая ваниль и сухие табачные листья. Плотный уютный аромат для гостиной.;Свеча из соевого воска в янтарном стекле. Аромат раскрывается через 15–20 минут после того, как свеча зажжена, и держится в комнате ещё час после.;Соевый воск, хлопковый фитиль, парфюмерная композиция;около 20 часов;
LU-112;Ваниль и табак;Свечи;200 мл;1390;да;;;;;около 40 часов;
LU-121;Бергамот и грейпфрут;Свечи;100 мл;790;да;bergamot.jpg;Свежий цитрус без приторности. Для кухни и рабочего стола.;Свеча из соевого воска в стекле цвета терракоты. Лёгкий аромат, который не спорит с запахом еды и кофе.;Соевый воск, хлопковый фитиль, парфюмерная композиция;около 20 часов;
LU-122;Бергамот и грейпфрут;Свечи;200 мл;1390;да;;;;;около 40 часов;
LU-131;Хлопок и лён;Свечи;100 мл;790;да;hlopok.jpg;Запах чистого белья после сушки на солнце. Для спальни.;Свеча из соевого воска в прозрачном стекле. Самый спокойный аромат коллекции — его чаще всего берут в подарок, когда не знают вкусов человека.;Соевый воск, хлопковый фитиль, парфюмерная композиция;около 20 часов;да
LU-132;Хлопок и лён;Свечи;200 мл;1390;да;;;;;около 40 часов;
LU-141;Белый чай и жасмин;Свечи;100 мл;790;да;chai.jpg;Тихий, еле уловимый аромат. Для тех, кто не любит сильных запахов.;Свеча из соевого воска в белом стекле. Аромат заметен в метре от свечи и не заполняет всю квартиру.;Соевый воск, хлопковый фитиль, парфюмерная композиция;около 20 часов;
LU-142;Белый чай и жасмин;Свечи;200 мл;1390;да;;;;;около 40 часов;
LU-151;Дымный янтарь;Свечи;100 мл;790;да;yantar.jpg;Смола, амбра и дым. Самый глубокий аромат коллекции.;Свеча из соевого воска в янтарном стекле. Плотный вечерний аромат: для большой комнаты хватит одной свечи 100 мл.;Соевый воск, хлопковый фитиль, парфюмерная композиция;около 20 часов;
LU-152;Дымный янтарь;Свечи;200 мл;1390;нет;;;;;около 40 часов;
LU-161;Медовые соты;Свечи;высота 7 см;590;да;soty.jpg;Скатана вручную из листа вощины. Пахнет мёдом, даже когда не горит.;Свеча из натурального пчелиного воска без отдушек. Горит медленнее парафиновой и почти не даёт дыма. Ставьте на подставку: катаная свеча может подтекать.;Пчелиный воск, хлопковый фитиль;около 6 часов;
LU-162;Медовые соты;Свечи;высота 10 см;790;да;;;;;около 9 часов;
LU-171;Чайные свечи из пчелиного воска;Свечи;6 штук;490;да;chainye.jpg;Для подсвечников, аромаламп и подогрева чайника.;Маленькие свечи из пчелиного воска в прозрачных гильзах. Воск не растекается по подсвечнику: гильзу после использования просто выбрасываете.;Пчелиный воск, хлопковый фитиль;около 4 часов каждая;
LU-172;Чайные свечи из пчелиного воска;Свечи;12 штук;890;да;;;;;около 4 часов каждая;
LU-201;Лаванда и овёс;Мыло;1 брусок;350;да;lavanda.jpg;Молотые овсяные хлопья мягко отшелушивают, лаванда — для вечернего душа.;Мыло сварено холодным способом и вызревало 6 недель. Брусок 100 г. Храните на сухой мыльнице с решёткой — так брусок прослужит 4–5 недель.;Масла оливковое, кокосовое и ши, овсяные хлопья, эфирное масло лаванды;;
LU-202;Лаванда и овёс;Мыло;3 бруска;950;да;;;;;;
LU-211;Козье молоко;Мыло;1 брусок;350;да;moloko.jpg;Без отдушки и красителей. Для тех, у кого от ароматного мыла стягивает кожу.;Мыло сварено холодным способом на козьем молоке и вызревало 6 недель. Брусок 100 г, белый, без запаха.;Масла оливковое и кокосовое, козье молоко;;да
LU-212;Козье молоко;Мыло;3 бруска;950;да;;;;;;
LU-221;Шалфей и мята;Мыло;1 брусок;350;да;shalfey.jpg;Прохладная мята и травянистый шалфей. Бодрит утром.;Мыло сварено холодным способом и вызревало 6 недель. Брусок 100 г с мраморными разводами — рисунок на каждом свой.;Масла оливковое, кокосовое и касторовое, глина, эфирные масла мяты и шалфея;;
LU-222;Шалфей и мята;Мыло;3 бруска;950;да;;;;;;
LU-301;Набор «Четыре сезона»;Наборы;4 бруска;1290;да;sezony.jpg;Четыре бруска по 100 г: лаванда, козье молоко, шалфей и апельсин.;Удобно попробовать всё сразу или разложить по ванной, кухне и гостевому туалету. Бруски упакованы в бумагу, перевязаны льняной нитью.;Масла оливковое, кокосовое и ши, эфирные масла;;
LU-311;Набор «Вечер дома»;Наборы;в крафт-пакете;1890;да;vecher.jpg;Свеча «Инжир и кедр» 200 мл, мыло «Лаванда и овёс» и длинные спички.;Готовый подарок: собирать ничего не нужно. В подарочной коробке — с лентой и сургучной печатью.;Соевый воск, мыло холодного способа, спички 10 см;около 40 часов;да
LU-312;Набор «Вечер дома»;Наборы;в подарочной коробке;2140;да;;;;;около 40 часов;
LU-321;Свеча «В подарок»;Наборы;обычная этикетка;1190;да;podarok.jpg;Свеча «Хлопок и лён» 100 мл в белой коробке с открыткой.;Открытку подпишем от руки — напишите текст в комментарии к заказу. Этикетку с вашей надписью печатаем под заказ, поэтому такую свечу нельзя вернуть: это исключение из правил возврата.;Соевый воск, хлопковый фитиль, парфюмерная композиция;около 20 часов;
LU-322;Свеча «В подарок»;Наборы;этикетка с вашей надписью;1390;да;;;;;около 20 часов;
LU-401;Подарочная коробка;Упаковка;белая с сургучом;250;да;korobka.jpg;Белая коробка, лента и сургучная печать.;Поместятся свеча 200 мл и два бруска мыла. Соберём и упакуем сами, внутрь положим открытку.;Картон, лента, сургуч;;
